d,phi,u
-0.11650438240566227,-1.0120129358261287,0.3258805676489642
-0.11650438240566227,-1.0120129358261287,0.24245408810038935
-0.11650438240566227,-1.0120129358261287,0.3516444430910892
-0.11650438240566227,-1.0120129358261287,-0.7784038811147429
-0.11650438240566227,-1.0120129358261287,0.20403366496341022
-0.11716287429761407,-1.0126581687227083,-0.299449768058494
-0.11836473820093889,-1.0050169354229805,0.2665248230527107
-0.1200172703465518,-0.9979342101759474,-1.2895606744293044
-0.1220387290547543,-0.9910450317666663,2.122522579057584
-0.1243597093953476,-0.9746614885242801,1.9493666573472705
-0.1269187234399478,-0.9673585626575872,-1.6545817644768679
-0.1296651333134964,-0.9486905657744716,0.534485224997766
-0.13254939528378604,-0.9277022617109162,-0.3542685189843782
-0.13553539941868728,-0.9111353563308185,0.9874199107551274
-0.13859239881102037,-0.8827649885461336,-0.7221407965242451
-0.14168705249183924,-0.8644741528339365,1.3274144815646551
-0.14479915921118716,-0.837372649289811,-1.1597118556373913
-0.14790914747250758,-0.8127451031804159,0.779021766583249
-0.15100003047826077,-0.7869484282597149,0.9819642687717198
-0.15405914527320755,-0.7642703470482132,-1.298898633545334
-0.15708321260110147,-0.7443704592300072,-0.5651280068989794
-0.16009929216393362,-0.7455956274969384,-1.6772689950462714
-0.16298908666635534,-0.7014915895618979,0.6818898597477961
-0.1658618990200611,-0.6829930303558732,0.48300643302202545
-0.1686745382542861,-0.6545167407932164,-1.6708332355218656
-0.17141704236032734,-0.632725393139298,-0.9932943232133534
-0.1740802602721712,-0.6081321064461874,0.4929147735488761
-0.17666047882115543,-0.5858564638578704,-1.2192376539485208
-0.17916331761963275,-0.5652693425283141,0.9869987064743153
-0.1815854608725374,-0.5419533295490951,-0.9985054723472804
-0.1839186130321228,-0.5176844772396386,-0.6655807085189823
-0.18617951422717693,-0.5079099924917582,1.1223447803535842
-0.18842931709494726,-0.5068011625655066,0.15953525057800405
-0.1906732057472456,-0.5038631683566638,0.9047170292156778
-0.19290517520711836,-0.49999907861153603,2.9788636700684816
-0.1951285570939737,-0.49887240689648454,-0.37424469886413025
-0.19734959970081442,-0.4982118326702775,-0.7478941366853058
-0.19809006771814835,-0.39678143976052677,1.1051531582761724
-0.19987733382487352,-0.39343291596152086,-0.3636724640752282
-0.20163763663756737,-0.3836618183201376,-0.3541777284094757
-0.2033657943718384,-0.3769848672431127,1.7416706934630706
-0.2050639361024406,-0.37228786169353023,-0.3846840864178601
-0.20673324884069058,-0.36181274188907536,0.08567932881353393
-0.20837064981455244,-0.35507665634298113,-1.3612272615318672
-0.21000115634139305,-0.3605501196660187,0.46075072123527333
-0.21157510071658991,-0.3469666483464633,0.1516773913441275
-0.21314474792530722,-0.3420880269269945,-1.5206806521104002
-0.21468550250709365,-0.33421600842565163,1.4369838097856598
-0.21619360478719865,-0.3273784610529335,-0.9408167081880559
-0.21767251791570005,-0.3208463389063212,1.0278355627646145
-0.21911670929520263,-0.31128809625417203,-1.0589360421960299
-0.22052710877236004,-0.3049832469444193,-1.274984548783337
-0.22190720332104721,-0.29680955644059576,0.743699432766599
-0.22325834810877565,-0.29093316350833026,-0.5697536040281022
-0.2245813138202309,-0.28293469596742427,-0.4953744201978447
-0.22586619311990097,-0.2761469065061057,-0.2353794307027521
-0.22711187795272056,-0.2678887264130478,-1.1406645534616167
-0.22832273468973313,-0.2588395107123807,-0.6239223226735043
-0.22949604912987767,-0.2492692671294898,0.22866921780692193
-0.23063043193775976,-0.24297571098525525,1.592288601673119
-0.23172098687814385,-0.2317075102513948,-1.47787184845416
-0.23277176362722174,-0.22464901886916247,-0.23234332957799844
-0.23379592034033259,-0.2186543223877439,-0.05395958479350177
-0.2347956684937118,-0.21391167636458852,0.20952057788377912
-0.2357824486020419,-0.21295406264934735,0.21551967963509397
-0.23675849773142765,-0.20919799269808068,0.7371315325527134
-0.23771752538854107,-0.20548269985808662,0.6817693887527952
-0.2386604971514945,-0.20215594117855512,0.40344011901884563
