d,phi,u
-0.11153553575304065,-0.40653179802530187,-2.7737973954109334
-0.11153553575304065,-0.40653179802530187,-2.7737973954109334
-0.11153553575304065,-0.40653179802530187,-2.7737973954109334
-0.11153553575304065,-0.40653179802530187,-2.7737973954109334
-0.11153553575304065,-0.40653179802530187,-2.7737973954109334
-0.11184060756561431,-0.4010397696393265,-2.7417604405328024
-0.11238958241930197,-0.3907879833188386,-2.681896647170938
-0.11312414257228642,-0.37641107345510727,-2.5978388684475027
-0.11399059513732457,-0.3584590565205645,-2.4927261245353605
-0.11494073549270922,-0.33747204558387944,-2.3696544799814045
-0.11593222599436404,-0.31397323487062917,-2.231636087206867
-0.11692863529302377,-0.28846396267833413,-2.0815696819490763
-0.11789890220068555,-0.2612122905375335,-1.9209704498272575
-0.11881737109214585,-0.2329023360891513,-1.7538661298113454
-0.11966381545076654,-0.20394847555760992,-1.582682299697959
-0.12042260862876564,-0.17473368967589054,-1.4096699639416401
-0.12108226646481202,-0.14561074973294708,-1.2369112977921186
-0.12163498729911204,-0.11689827070776236,-1.0662945861439104
-0.12207619513705348,-0.08888046287908147,-0.8995113626856492
-0.12240410031110971,-0.061807262203353294,-0.7380558741534489
-0.12261853071901019,-0.03555272106018588,-0.5811719185181459
-0.12272062361758762,-0.010349741370343413,-0.4302603190748233
-0.12271332798292178,0.013604069534909296,-0.28651556673930956
-0.1226010849552508,0.036145042150076793,-0.15093300196529164
-0.1223895335669174,0.0571418783118062,-0.024317330829914996
-0.12208525283650618,0.07648983776457294,0.0926832680779191
-0.12169553853318915,0.0941099706907556,0.19957320854496619
-0.12122820295805525,0.10994804403863298,0.29600365535763207
-0.12069139749303881,0.12397321669524129,0.3817651076923313
-0.12009345713011366,0.13617651385299306,0.4567787117276174
-0.11944276566022927,0.14656919487476572,0.5210868722679065
-0.1187476398378795,0.155181036649044,0.5748433003806255
-0.11801661887619297,0.16188875039001663,0.6172826457115209
-0.11725828106357572,0.1667976953457532,0.6490113288837921
-0.11648069930972194,0.17002037929358332,0.6706801778323342
-0.11569140989347637,0.1716752010599616,0.6829769766793404
-0.1148973846619773,0.1718871804159925,0.686630928510023
-0.11410500736578821,0.17078587459175182,0.6824002254531462
-0.11332005928961209,0.1685034846636728,0.6710607301132004
